"Ticks","placeholder","Changers","Stayers"
520,,940000,951228.070500632
521,,953306.2222222222,952260.3735234515
522,,940000,950603.7981435312
523,,940000,960011.7780431161
524,,940000,962320.9582898327
525,,953306.2222222222,965664.6990522692
526,,940000,966155.2611330386
527,,940000,964763.2397147734
528,,940000,951647.8646868445
529,,951342.6666666666,956624.2340825126
530,,940000,965649.6213449374
531,,947415.5555555555,952377.1026957151
532,,959825.3937777779,958238.5352960079
533,,940000,955084.6737821647
534,,940000,947035.8009010316
535,,940000,940841.594981658
536,,955269.7777777778,949921.8766363065
537,,940000,945792.4479103358
538,,940000,957511.5528968836
539,,951342.6666666666,959818.7472583933
540,,952787.0080000001,961649.2256872944
541,,953558.7759075554,954352.1715085749
542,,940000,949953.4979466117
543,,940000,952059.0885003953
544,,947415.5555555555,948869.9792703371
545,,940000,955269.2350894209
546,,940000,951243.3732946601
547,,946433.7777777778,953713.711417345
548,,958316.7982222226,948309.6897378435
549,,964313.0744528888,945357.8206498261
550,,940000,948429.2426376159
551,,940000,953194.3702977471
552,,940000,955866.3517900584
553,,952324.4444444445,958071.08375325
554,,940000,956937.0278198286
555,,940000,948948.5873924658
556,,953306.2222222222,949466.956293658
557,,962076.0044444446,951814.6707319032
558,,966643.5436968888,951159.8075915086
559,,940000,952366.324366837
560,,945452,958746.0601435174
561,,940000,958144.9020621273
562,,951342.6666666666,960848.3305826399
563,,947484.2173333333,951011.1319582162
564,,940000,957395.6726317343
565,,957233.3333333334,957646.1199272282
566,,940000,962077.928819634
567,,940000,964838.1477522014
568,,940000,956349.0532595932
569,,951342.6666666666,955004.2415389601
570,,940000,966339.9370661542
571,,946433.7777777778,953921.1174922045
572,,940000,956814.4526163202
573,,950360.8888888889,958152.5110212294
574,,955172.3311111112,964365.8959210531
575,,940000,958205.4985758482
576,,940000,962672.1242523676
577,,951342.6666666666,956977.3452473619
578,,940000,963391.502257017
579,,950360.8888888889,955739.1896617647
580,,949851.6804444445,945301.7453778932
581,,950245.8186008887,947993.4665976358
582,,954556.3675441978,956167.2232835175
583,,950434.859798782,941703.7124489766
584,,956445.0843963937,940882.2179357598
585,,954207.3321885791,944702.4652973488
586,,956094.2922459512,946546.4130718982
587,,940000,946087.4918159372
588,,942506.6666666666,954194.8093233749
589,,954256.1653333333,948669.8002444733
590,,940000,949904.379266132
591,,940000,944270.1792802596
592,,940000,946734.8234903178
593,,945452,952075.4491703702
594,,940000,960810.6282106912
595,,949379.1111111111,963957.3016044463
596,,940000,953242.4777731199
597,,940000,962914.4766702265
598,,949379.1111111111,952443.1414527096
599,,940000,949477.7243134809
